Name;Status;Kreis;Einwohner;Einwohner;Einwohner;Einwohner
;;;Schätzung;Schätzung;Zensus;Schätzung
;;;31.12.95;31.12.01;09.05.11;31.12.15
Meißner;Gemeinde;Werra-Meißner-Kreis;3.615;3.516;3.223;3.055
Melsungen;Stadt;Schwalm-Eder-Kreis;13.916;14.167;13.278;13.381
Mengerskirchen;Marktflecken;Limburg-Weilburg;5.964;6.143;5.746;5.787
Merenberg;Gemeinde;Limburg-Weilburg;3.249;3.500;3.319;3.189
Messel;Gemeinde;Darmstadt-Dieburg;4.031;3.937;3.754;3.972
Michelbuch;Gemeindefreies Gebiet;Bergstraße;0;0;0;0
Michelstadt;Stadt;Odenwaldkreis;16.535;17.109;16.409;16.642
Mittenaar;Gemeinde;Lahn-Dill-Kreis;5.125;5.157;4.902;4.850
Modautal;Gemeinde;Darmstadt-Dieburg;4.811;5.057;5.008;5.100
Mörfelden-Walldorf;Stadt;Groß-Gerau;31.846;32.682;32.380;33.623
Mörlenbach;Gemeinde;Bergstraße;10.441;10.610;9.870;9.972
Morschen;Gemeinde;Schwalm-Eder-Kreis;4.060;3.901;3.509;3.333
Mossautal;Gemeinde;Odenwaldkreis;2.578;2.654;2.568;2.451
Mücke;Gemeinde;Vogelsbergkreis;10.180;10.237;9.483;9.348
Mühlheim am Main;Stadt;Offenbach;25.891;26.220;26.847;28.170
Mühltal;Gemeinde;Darmstadt-Dieburg;13.298;13.715;13.405;13.753
Münchhausen;Gemeinde;Marburg-Biedenkopf;3.709;3.735;3.474;3.429
Münster;Gemeinde;Darmstadt-Dieburg;13.113;13.718;14.071;14.076
Münzenberg;Stadt;Wetteraukreis;5.586;5.681;5.632;5.596
Nauheim;Gemeinde;Groß-Gerau;10.480;10.357;9.911;10.510
Naumburg;Stadt;Kassel;5.691;5.555;5.327;5.085
Neckarsteinach;Stadt;Bergstraße;4.016;3.891;3.804;3.889
Nentershausen;Gemeinde;Hersfeld-Rotenburg;3.372;3.222;2.836;2.678
Neu-Anspach;Stadt;Hochtaunuskreis;13.604;15.002;14.705;14.624
Neuberg;Gemeinde;Main-Kinzig-Kreis;5.419;5.326;5.198;5.346
Neu-Eichenberg;Gemeinde;Werra-Meißner-Kreis;1.976;1.963;1.819;1.848
Neuenstein;Gemeinde;Hersfeld-Rotenburg;3.229;3.206;3.052;3.016
Neuental;Gemeinde;Schwalm-Eder-Kreis;3.454;3.438;3.246;3.162
Neuhof;Gemeinde;Fulda;11.484;11.558;10.784;10.838
Neu-Isenburg;Stadt;Offenbach;35.798;35.811;34.708;37.565
Neukirchen;Stadt;Schwalm-Eder-Kreis;7.482;7.680;7.255;7.174
Neustadt (Hessen);Stadt;Marburg-Biedenkopf;9.431;9.467;8.631;9.811
