Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Liebenwalde;Siedlung;Oberhavel;2.090
Lieberose;Siedlung;Dahme-Spreewald;990
Liepe;Siedlung;Barnim;670
Limberg (Limbark);Siedlung;Spree-Neiße;650
Lindenau;Siedlung;Oberspreewald-Lausitz;710
Lindenberg;Siedlung;Barnim;690
Lindenberg;Siedlung;Oder-Spree;820
Lindow (Mark);Siedlung;Ostprignitz-Ruppin;2.100
Linthe;Siedlung;Potsdam-Mittelmark;640
Linum;Siedlung;Ostprignitz-Ruppin;690
Lobetal;Siedlung;Barnim;680
Löwenberg;Siedlung;Oberhavel;1.210
Lübbenau/Spreewald (Lubnjow/B_ota);Siedlung;Oberspreewald-Lausitz;13.000
Lübben (Spreewald);Siedlung;Dahme-Spreewald;11.700
Luckau;Siedlung;Dahme-Spreewald;5.730
Luckenwalde;Siedlung;Teltow-Fläming;19.400
Ludwigsfelde;Siedlung;Teltow-Fläming;19.100
Lunow;Siedlung;Barnim;970
Lychen;Siedlung;Uckermark;2.310
Manschnow;Siedlung;Märkisch-Oderland;1.050
Marienwerder;Siedlung;Barnim;950
Markee;Siedlung;Havelland;760
Markendorf;Siedlung;Frankfurt (Oder);1.240
Markgrafpieske;Siedlung;Oder-Spree;550
Märkisch Buchholz;Siedlung;Dahme-Spreewald;600
Marquardt;Siedlung;Potsdam;1.090
Marwitz;Siedlung;Oberhavel;1.290
Massen;Siedlung;Elbe-Elster;840
Melchow;Siedlung;Barnim;820
Mellensee - Klausdorf;Siedlung;Teltow-Fläming;2.320
Menz;Siedlung;Oberhavel;520
Merzdorf;Siedlung;Elbe-Elster;670
Meuro;Siedlung;Oberspreewald-Lausitz;1.040
Meyenburg;Siedlung;Prignitz;1.640
Meyenburg;Siedlung;Uckermark;660
Michendorf;Siedlung;Potsdam-Mittelmark;5.080
Milmersdorf;Siedlung;Uckermark;980
Milow;Siedlung;Havelland;1.210
Mittelbusch;Siedlung;Potsdam-Mittelmark;500
Mittenwalde;Siedlung;Dahme-Spreewald;2.010
Mixdorf;Siedlung;Oder-Spree;910
Mögelin;Siedlung;Havelland;1.190
Motzen;Siedlung;Dahme-Spreewald;1.250
Mühlberg/Elbe;Siedlung;Elbe-Elster;2.050
Müllrose;Siedlung;Oder-Spree;3.960
Müncheberg;Siedlung;Märkisch-Oderland;4.370
Münchehofe;Siedlung;Märkisch-Oderland;550
Nahmitz;Siedlung;Potsdam-Mittelmark;530
Nassenheide;Siedlung;Oberhavel;1.130
Nauen;Siedlung;Havelland;10.200
Nennhausen;Siedlung;Havelland;940
Netzen;Siedlung;Potsdam-Mittelmark;570
Neuenhagen;Siedlung;Märkisch-Oderland;730
Neuenhagen bei Berlin;Siedlung;Märkisch-Oderland;16.700
Neu Fahrland;Siedlung;Potsdam;1.460
Neuhardenberg;Siedlung;Märkisch-Oderland;1.750
Neu Lindenberg;Siedlung;Barnim;2.040
Neupetershain;Siedlung;Oberspreewald-Lausitz;1.090
Neuruppin;Siedlung;Ostprignitz-Ruppin;20.300
Neuschmerzke;Siedlung;Brandenburg an der Havel;750
Neuseddin;Siedlung;Potsdam-Mittelmark;2.600
Neustadt (Dosse);Siedlung;Ostprignitz-Ruppin;2.840
Neutrebbin;Siedlung;Märkisch-Oderland;840
Neu Zauche (Nowa Niwa);Siedlung;Dahme-Spreewald;640
Neuzelle;Siedlung;Oder-Spree;1.960
Neu Zittau;Siedlung;Oder-Spree;970
Niemegk;Siedlung;Potsdam-Mittelmark;1.740
Oderberg;Siedlung;Barnim;1.940
Oranienburg;Siedlung;Oberhavel;32.200
Ortrand;Siedlung;Oberspreewald-Lausitz;2.240
Paaren im Glien;Siedlung;Havelland;620
Panketal;Siedlung;Barnim;18.500
Passow;Siedlung;Uckermark;770
Pätz;Siedlung;Dahme-Spreewald;790
Paulinenaue;Siedlung;Havelland;900
Pausin;Siedlung;Havelland;750
Peitz (Picnjo);Siedlung;Spree-Neiße;4.390
Perleberg;Siedlung;Prignitz;10.000
Pessin;Siedlung;Havelland;640
Petershagen;Siedlung;Märkisch-Oderland;9.690
Phöben;Siedlung;Potsdam-Mittelmark;690
Pillgram;Siedlung;Oder-Spree;640
Pinnow;Siedlung;Uckermark;900
Plaue;Siedlung;Brandenburg an der Havel;2.240
Plessa;Siedlung;Elbe-Elster;2.040
Podelzig;Siedlung;Märkisch-Oderland;620
Potsdam;Siedlung;Potsdam;136.200
Premnitz;Siedlung;Havelland;7.060
Prenzlau;Siedlung;Uckermark;16.800
Prieros;Siedlung;Dahme-Spreewald;890
Priort;Siedlung;Havelland;910
Pritzerbe;Siedlung;Potsdam-Mittelmark;630
Pritzwalk;Siedlung;Prignitz;8.860
Prösen;Siedlung;Elbe-Elster;1.930
Prützke;Siedlung;Potsdam-Mittelmark;500
Putlitz;Siedlung;Prignitz;1.490
Raddusch (Radu_);Siedlung;Oberspreewald-Lausitz;650
Radensdorf;Siedlung;Dahme-Spreewald;530
Radensleben;Siedlung;Ostprignitz-Ruppin;500
Radewege;Siedlung;Potsdam-Mittelmark;810
Ragösen;Siedlung;Potsdam-Mittelmark;620
Ragow;Siedlung;Dahme-Spreewald;1.780
Ragow (Rogow);Siedlung;Oberspreewald-Lausitz;520
Rangsdorf;Siedlung;Teltow-Fläming;8.950
Rathenow;Siedlung;Havelland;19.700
Rathenow West;Siedlung;Havelland;2.440
Rauen;Siedlung;Oder-Spree;1.060
Rauen-Stadtberg;Siedlung;Oder-Spree;830
Reetz;Siedlung;Potsdam-Mittelmark;560
Rehagen;Siedlung;Teltow-Fläming;710
Rehfelde;Siedlung;Märkisch-Oderland;2.930
Reichenwalde;Siedlung;Oder-Spree;610
Retzow;Siedlung;Havelland;550
Rheinsberg;Siedlung;Ostprignitz-Ruppin;4.370
Rhinow;Siedlung;Havelland;1.530
Rießen;Siedlung;Oder-Spree;650
Rosengarten;Siedlung;Frankfurt (Oder);680
Roskow;Siedlung;Potsdam-Mittelmark;600
Rückersdorf;Siedlung;Elbe-Elster;840
Rüdersdorf bei Berlin;Siedlung;Märkisch-Oderland;9.080
Rüdnitz;Siedlung;Barnim;1.590
Ruhland;Siedlung;Oberspreewald-Lausitz;3.080
Saalow;Siedlung;Teltow-Fläming;700
Saarmund;Siedlung;Potsdam-Mittelmark;1.560
Saathain;Siedlung;Elbe-Elster;520
Schenkendorf;Siedlung;Dahme-Spreewald;600
Schildow - Mühlenbeck;Siedlung;Oberhavel;8.070
Schipkau;Siedlung;Oberspreewald-Lausitz;2.750
Schlepzig;Siedlung;Dahme-Spreewald;610
Schlieben;Siedlung;Elbe-Elster;1.260
Schmachtenhagen;Siedlung;Oberhavel;1.590
Schmergow;Siedlung;Potsdam-Mittelmark;710
Schmerzke;Siedlung;Brandenburg an der Havel;750
Schönborn;Siedlung;Elbe-Elster;1.020
Schönefeld;Siedlung;Dahme-Spreewald;710
Schönefeld (Ost);Siedlung;Dahme-Spreewald;2.200
Schöneiche;Siedlung;Teltow-Fläming;510
Schöneiche bei Berlin;Siedlung;Oder-Spree;11.800
Schönerlinde;Siedlung;Barnim;860
Schönewalde;Siedlung;Elbe-Elster;760
Schönfließ;Siedlung;Oberhavel;680
Schönwalde;Siedlung;Barnim;2.110
Schönwalde;Siedlung;Dahme-Spreewald;820
Schönwalde-Dorf;Siedlung;Havelland;860
Schönwalde-Siedlung;Siedlung;Havelland;4.750
Schulzendorf;Siedlung;Dahme-Spreewald;7.510
Schwante - Neu-Schwante;Siedlung;Oberhavel;1.830
Schwarze Pumpe (Carna Plumpa);Siedlung;Spree-Neiße;1.910
Schwarzheide;Siedlung;Oberspreewald-Lausitz;5.100
Schwarzheide-Ost;Siedlung;Oberspreewald-Lausitz;850
Schwedt/Oder;Siedlung;Uckermark;27.600
Schwerin;Siedlung;Dahme-Spreewald;790
Seddin;Siedlung;Potsdam-Mittelmark;1.250
Sedlitz;Siedlung;Oberspreewald-Lausitz;940
Seeberg-Siedlung;Siedlung;Märkisch-Oderland;1.700
Seeburg;Siedlung;Havelland;950
Seefeld;Siedlung;Barnim;960
Seelow;Siedlung;Märkisch-Oderland;4.920
