Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Piesau;Siedlung;Saalfeld-Rudolstadt;750
Plaue;Siedlung;Ilm-Kreis;1.710
Pöllwitz;Siedlung;Greiz;590
Pölzig;Siedlung;Greiz;1.150
Ponitz;Siedlung;Altenburger Land;840
Pößneck;Siedlung;Saale-Orla-Kreis;12.300
Probstzella;Siedlung;Saalfeld-Rudolstadt;1.220
Queienfeld;Siedlung;Schmalkalden-Meiningen;500
Ranis;Siedlung;Saale-Orla-Kreis;1.620
Rastenberg;Siedlung;Sömmerda;1.640
Rauenstein;Siedlung;Sonneberg;1.270
Reichenbach;Siedlung;Saale-Holzland-Kreis;930
Reichmannsdorf;Siedlung;Saalfeld-Rudolstadt;660
Reinholterode;Siedlung;Eichsfeld;790
Reinsdorf;Siedlung;Kyffhäuserkreis;790
Remda;Siedlung;Saalfeld-Rudolstadt;820
Remptendorf;Siedlung;Saale-Orla-Kreis;970
Remstädt;Siedlung;Gotha;940
Reudnitz;Siedlung;Greiz;870
Reurieth;Siedlung;Hildburghausen;660
Riechheim;Siedlung;Ilm-Kreis;570
Riethnordhausen;Siedlung;Sömmerda;1.000
Ringleben;Siedlung;Kyffhäuserkreis;900
Ringleben;Siedlung;Sömmerda;510
Rockendorf;Siedlung;Saale-Orla-Kreis;510
Roda;Siedlung;Ilm-Kreis;510
Rohr;Siedlung;Schmalkalden-Meiningen;910
Römhild;Siedlung;Hildburghausen;1.780
Ronneburg;Siedlung;Greiz;4.770
Rosa;Siedlung;Schmalkalden-Meiningen;500
Rositz;Siedlung;Altenburger Land;2.990
Roßdorf;Siedlung;Schmalkalden-Meiningen;680
Roßleben;Siedlung;Kyffhäuserkreis;3.630
Rothenstein;Siedlung;Saale-Holzland-Kreis;1.210
Rottenbach;Siedlung;Saalfeld-Rudolstadt;620
Rotterode;Siedlung;Schmalkalden-Meiningen;750
Rottleben;Siedlung;Kyffhäuserkreis;620
Rottmar - Gefell;Siedlung;Sonneberg;690
Rüdersdorf;Siedlung;Greiz;680
Rüdigershagen;Siedlung;Eichsfeld;510
Rudolstadt;Siedlung;Saalfeld-Rudolstadt;21.800
Ruhla;Siedlung;Wartburgkreis;3.410
Rüxleben;Siedlung;Nordhausen;890
Saalburg;Siedlung;Saale-Orla-Kreis;770
Saalfeld/Saale;Siedlung;Saalfeld-Rudolstadt;24.600
Sachsenbrunn;Siedlung;Hildburghausen;1.660
Salomonsborn;Siedlung;Erfurt;1.120
Sättelstädt;Siedlung;Wartburgkreis;540
Schalkau;Siedlung;Sonneberg;1.820
Scheibe-Alsbach;Siedlung;Sonneberg;620
Schernberg;Siedlung;Kyffhäuserkreis;870
Schkölen;Siedlung;Saale-Holzland-Kreis;1.180
Schleiz;Siedlung;Saale-Orla-Kreis;6.200
Schleusegrund;Siedlung;Hildburghausen;1.410
Schleusingen;Siedlung;Hildburghausen;4.180
Schleusingerneundorf;Siedlung;Hildburghausen;620
Schloßvippach;Siedlung;Sömmerda;1.140
Schlotheim;Siedlung;Unstrut-Hainich-Kreis;3.500
Schmalkalden;Siedlung;Schmalkalden-Meiningen;15.100
Schmerbach;Siedlung;Gotha;780
Schmiedefeld;Siedlung;Saalfeld-Rudolstadt;1.020
Schmiedefeld am Rennsteig;Siedlung;Ilm-Kreis;1.700
Schmölln;Siedlung;Altenburger Land;9.570
Schnellmannshausen;Siedlung;Wartburgkreis;830
Schnett;Siedlung;Hildburghausen;570
Schönau;Siedlung;Wartburgkreis;780
