Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Erfurtshausen;Siedlung;Marburg-Biedenkopf;570
Erksdorf;Siedlung;Marburg-Biedenkopf;890
Erlensee (Rückingen - Langendiebach);Siedlung;Main-Kinzig-Kreis;13.000
Ermetheis;Siedlung;Schwalm-Eder-Kreis;620
Ermschwerd;Siedlung;Werra-Meißner-Kreis;950
Ernsthausen;Siedlung;Limburg-Weilburg;550
Ernsthausen;Siedlung;Waldeck-Frankenberg;1.240
Ernsthofen;Siedlung;Darmstadt-Dieburg;940
Erzhausen;Siedlung;Darmstadt-Dieburg;7.460
Esch;Siedlung;Rheingau-Taunus-Kreis;1.020
Eschbach;Siedlung;Hochtaunuskreis;1.900
Eschborn;Siedlung;Main-Taunus-Kreis;20.300
Eschenhahn;Siedlung;Rheingau-Taunus-Kreis;690
Eschenstruth;Siedlung;Kassel;1.470
Eschhofen;Siedlung;Limburg-Weilburg;2.720
Eschollbrücken;Siedlung;Darmstadt-Dieburg;2.880
Eschwege;Siedlung;Werra-Meißner-Kreis;16.500
Espa;Siedlung;Gießen;670
Espenau (Hohenkirchen - Mönchehof);Siedlung;Kassel;4.870
Ettingshausen;Siedlung;Gießen;1.560
Ewersbach;Siedlung;Lahn-Dill-Kreis;3.190
Falkenberg;Siedlung;Schwalm-Eder-Kreis;750
Fauerbach;Siedlung;Wetteraukreis;590
Fauerbach vor der Höhe;Siedlung;Wetteraukreis;720
Fehlheim;Siedlung;Bergstraße;1.690
Fellerdilln;Siedlung;Lahn-Dill-Kreis;1.280
Fellingshausen;Siedlung;Gießen;1.780
Felsberg;Siedlung;Schwalm-Eder-Kreis;2.470
Fischbach;Siedlung;Main-Taunus-Kreis;5.430
Flechtdorf;Siedlung;Waldeck-Frankenberg;560
Fleisbach;Siedlung;Lahn-Dill-Kreis;1.840
Flieden;Siedlung;Fulda;3.790
Flörsbach;Siedlung;Main-Kinzig-Kreis;640
Flörsheim am Main;Siedlung;Main-Taunus-Kreis;12.700
Frankenau;Siedlung;Waldeck-Frankenberg;1.460
Frankenbach;Siedlung;Gießen;960
Frankenberg (Eder);Siedlung;Waldeck-Frankenberg;10.800
Frankenhausen;Siedlung;Darmstadt-Dieburg;640
Frankershausen;Siedlung;Werra-Meißner-Kreis;940
Frankfurt am Main;Siedlung;Frankfurt am Main;662.000
Fränkisch-Crumbach;Siedlung;Odenwaldkreis;3.020
Frauenstein;Siedlung;Wiesbaden;2.330
Frechenhausen;Siedlung;Marburg-Biedenkopf;760
Freienhagen;Siedlung;Waldeck-Frankenberg;840
Freienseen;Siedlung;Gießen;780
Freiensteinau;Siedlung;Vogelsbergkreis;920
Frickhofen;Siedlung;Limburg-Weilburg;2.790
Frieda;Siedlung;Werra-Meißner-Kreis;770
Friedberg (Hessen);Siedlung;Wetteraukreis;18.200
Friedewald;Siedlung;Hersfeld-Rotenburg;1.720
