Name;Status;Kreis;Einwohner;Einwohner;Einwohner;Einwohner
;;;Schätzung;Schätzung;Zensus;Schätzung
;;;31.12.95;31.12.01;09.05.11;31.12.15
Kümmernitztal;Gemeinde;Prignitz;434;424;382;371
Küstriner Vorland;Gemeinde;Märkisch-Oderland;3.397;3.225;2.657;2.605
Kyritz;Stadt;Ostprignitz-Ruppin;11.442;10.721;9.314;9.100
Langewahl;Gemeinde;Oder-Spree;704;786;803;850
Lanz;Gemeinde;Prignitz;978;914;822;745
Lauchhammer;Stadt;Oberspreewald-Lausitz;22.948;20.276;16.069;15.084
Lawitz;Gemeinde;Oder-Spree;431;696;612;602
Lebus;Stadt;Märkisch-Oderland;2.702;3.362;3.217;3.146
Lebusa;Gemeinde;Elbe-Elster;1.003;935;829;789
Leegebruch;Gemeinde;Oberhavel;5.144;6.440;6.598;6.678
Legde/Quitzöbel;Gemeinde;Prignitz;859;751;634;619
Lenzen (Elbe);Stadt;Prignitz;3.008;2.766;2.334;2.219
Lenzerwische;Gemeinde;Prignitz;570;553;482;466
Letschin;Gemeinde;Märkisch-Oderland;5.588;5.257;4.314;4.035
Lichterfeld-Schacksdorf;Gemeinde;Elbe-Elster;1.371;1.289;1.060;1.121
Liebenwalde;Stadt;Oberhavel;4.741;4.692;4.299;4.261
Lieberose;Stadt;Dahme-Spreewald;1.832;1.707;1.485;1.379
Liepe;Gemeinde;Barnim;783;807;704;647
Lietzen;Gemeinde;Märkisch-Oderland;699;856;685;736
Lindenau;Gemeinde;Oberspreewald-Lausitz;873;789;710;741
Lindendorf;Gemeinde;Märkisch-Oderland;1.458;1.610;1.448;1.354
Lindow (Mark);Stadt;Ostprignitz-Ruppin;3.467;3.485;3.107;2.966
Linthe;Gemeinde;Potsdam-Mittelmark;766;988;915;928
Löwenberger Land;Gemeinde;Oberhavel;8.294;8.472;8.044;8.101
Lübbenau/Spreewald;Stadt;Oberspreewald-Lausitz;22.182;19.474;16.489;16.237
Lübben (Spreewald);Stadt;Dahme-Spreewald;15.091;14.845;13.868;13.824
Luckaitztal;Gemeinde;Oberspreewald-Lausitz;903;948;886;822
Luckau;Stadt;Dahme-Spreewald;10.751;10.919;9.919;9.533
Luckenwalde;Stadt;Teltow-Fläming;24.185;22.111;20.242;20.358
Ludwigsfelde;Stadt;Teltow-Fläming;23.590;24.303;23.661;25.030
Lunow-Stolzenhagen;Gemeinde;Barnim;1.292;1.304;1.220;1.208
Lychen;Stadt;Uckermark;4.122;3.989;3.263;3.135
Marienfließ;Gemeinde;Prignitz;981;962;768;712
Marienwerder;Gemeinde;Barnim;1.421;1.656;1.766;1.745
Märkisch Buchholz;Stadt;Dahme-Spreewald;862;872;774;773
Märkische Heide;Gemeinde;Dahme-Spreewald;4.989;4.946;4.158;3.954
Märkische Höhe;Gemeinde;Märkisch-Oderland;685;707;586;576
Märkisch Linden;Gemeinde;Ostprignitz-Ruppin;1.100;1.271;1.193;1.178
Märkisch Luch;Gemeinde;Havelland;1.371;1.369;1.294;1.251
Mark Landin;Gemeinde;Uckermark;1.036;1.174;1.059;1.014
Massen-Niederlausitz;Gemeinde;Elbe-Elster;2.253;2.429;2.078;1.962
Melchow;Gemeinde;Barnim;...;1.063;923;932
Merzdorf;Gemeinde;Elbe-Elster;1.075;1.029;885;825
Mescherin;Gemeinde;Uckermark;856;832;780;786
Meyenburg;Stadt;Prignitz;2.928;2.717;2.267;2.124
Michendorf;Gemeinde;Potsdam-Mittelmark;7.751;10.392;11.661;12.178
Milmersdorf;Gemeinde;Uckermark;2.092;1.884;1.543;1.466
Milower Land;Gemeinde;Havelland;4.854;5.052;4.455;4.333
Mittenwalde;Stadt;Dahme-Spreewald;6.522;8.536;8.629;8.898
Mittenwalde;Gemeinde;Uckermark;527;509;419;372
Mixdorf;Gemeinde;Oder-Spree;838;1.055;928;906
Mühlberg/Elbe;Stadt;Elbe-Elster;5.662;5.067;4.180;3.856
