Name;Status;Kreis;Einwohner;Einwohner;Einwohner;Einwohner
;;;Schätzung;Schätzung;Zensus;Schätzung
;;;31.12.95;31.12.01;09.05.11;31.12.15
Gernrode;Gemeinde;Eichsfeld;1.610;1.721;1.610;1.526
Geroda;Gemeinde;Saale-Orla-Kreis;271;286;254;250
Gerstenberg;Gemeinde;Altenburger Land;621;603;518;516
Gerstengrund;Gemeinde;Wartburgkreis;63;66;60;69
Gerstungen;Gemeinde;Wartburgkreis;6.600;6.386;5.941;5.896
Gerterode;Gemeinde;Eichsfeld;449;450;387;358
Gertewitz;Gemeinde;Saale-Orla-Kreis;170;184;158;145
Geschwenda;Gemeinde;Ilm-Kreis;2.486;2.346;2.099;1.998
Gierstädt;Gemeinde;Gotha;926;986;869;833
Gillersdorf;Gemeinde;Ilm-Kreis;364;346;275;260
Glasehausen;Gemeinde;Eichsfeld;173;179;171;174
Gneus;Gemeinde;Saale-Holzland-Kreis;164;171;161;160
Göhren;Gemeinde;Altenburger Land;553;564;431;427
Goldbach;Gemeinde;Gotha;1.490;1.918;1.704;1.665
Goldisthal;Gemeinde;Sonneberg;506;466;506;392
Göllnitz;Gemeinde;Altenburger Land;368;400;343;336
Golmsdorf;Gemeinde;Saale-Holzland-Kreis;655;759;654;712
Gompertshausen;Gemeinde;Hildburghausen;618;632;457;446
Göpfersdorf;Gemeinde;Altenburger Land;225;227;245;246
Görkwitz;Gemeinde;Saale-Orla-Kreis;274;333;306;284
Görsbach;Gemeinde;Nordhausen;1.202;1.190;1.059;1.045
Gorsleben;Gemeinde;Kyffhäuserkreis;679;698;548;522
Göschitz;Gemeinde;Saale-Orla-Kreis;288;284;261;224
Gösen;Gemeinde;Saale-Holzland-Kreis;222;236;218;213
Gossel;Gemeinde;Ilm-Kreis;507;546;489;465
Gössitz;Gemeinde;Saale-Orla-Kreis;432;393;326;317
Gößnitz;Stadt;Altenburger Land;4.740;4.355;3.724;3.511
Gotha;Stadt;Gotha;51.505;47.922;44.322;45.410
Grabfeld;Gemeinde;Schmalkalden-Meiningen;6.366;6.207;5.561;5.345
Gräfenhain;Gemeinde;Gotha;1.431;1.534;1.377;1.402
Gräfenroda;Gemeinde;Ilm-Kreis;3.976;3.711;3.313;3.232
Gräfenthal;Stadt;Saalfeld-Rudolstadt;3.108;2.866;2.231;2.035
Graitschen b. Bürgel;Gemeinde;Saale-Holzland-Kreis;386;427;404;399
Greiz;Stadt;Greiz;30.800;26.911;22.175;21.042
Greußen;Stadt;Kyffhäuserkreis;4.316;4.010;3.727;3.610
Griefstedt;Gemeinde;Sömmerda;332;337;289;277
Grimmelshausen;Gemeinde;Hildburghausen;214;204;188;185
Grobengereuth;Gemeinde;Saale-Orla-Kreis;243;245;224;204
Großbartloff;Gemeinde;Eichsfeld;1.033;1.012;926;935
Großbockedra;Gemeinde;Saale-Holzland-Kreis;198;206;181;178
Großbreitenbach;Stadt;Ilm-Kreis;3.317;3.120;2.657;2.615
Großbrembach;Gemeinde;Sömmerda;911;878;723;706
Großenehrich;Stadt;Kyffhäuserkreis;3.045;3.054;2.594;2.430
Großengottern;Gemeinde;Unstrut-Hainich-Kreis;2.344;2.366;2.259;2.232
Großensee;Gemeinde;Wartburgkreis;376;404;198;185
Großenstein;Gemeinde;Greiz;1.414;1.474;1.300;1.224
Großeutersdorf;Gemeinde;Saale-Holzland-Kreis;322;323;272;270
Großfahner;Gemeinde;Gotha;874;920;837;821
Großheringen;Gemeinde;Weimarer Land;716;692;685;653
Großlöbichau;Gemeinde;Saale-Holzland-Kreis;281;738;794;740
Großlohra;Gemeinde;Nordhausen;1.146;1.105;960;917
Großmölsen;Gemeinde;Sömmerda;271;271;225;218
Großneuhausen;Gemeinde;Sömmerda;861;818;692;676
Großobringen;Gemeinde;Weimarer Land;623;801;873;900
Großpürschütz;Gemeinde;Saale-Holzland-Kreis;307;456;391;394
Großrudestedt;Gemeinde;Sömmerda;2.088;2.169;1.934;1.884
Großschwabhausen;Gemeinde;Weimarer Land;909;1.026;1.036;1.051
Großvargula;Gemeinde;Unstrut-Hainich-Kreis;822;828;767;731
Grub;Gemeinde;Hildburghausen;232;214;176;156
Gumperda;Gemeinde;Saale-Holzland-Kreis;454;399;395;397
Günstedt;Gemeinde;Sömmerda;893;824;772;722
Günthersleben-Wechmar;Gemeinde;Gotha;3.012;3.149;3.055;2.982
Guthmannshausen;Gemeinde;Sömmerda;912;933;786;723
Haina;Gemeinde;Gotha;511;532;508;492
Hainichen;Gemeinde;Saale-Holzland-Kreis;195;209;193;194
Hainrode/Hainleite;Gemeinde;Nordhausen;382;409;381;357
Hainspitz;Gemeinde;Saale-Holzland-Kreis;814;805;675;641
Hallungen;Gemeinde;Wartburgkreis;252;249;223;198
Hammerstedt;Gemeinde;Weimarer Land;194;181;164;170
Hardisleben;Gemeinde;Sömmerda;623;670;571;539
Harra;Gemeinde;Saale-Orla-Kreis;1.015;1.011;905;841
Harth-Pöllnitz;Gemeinde;Greiz;3.448;3.476;3.013;2.936
Hartmannsdorf;Gemeinde;Saale-Holzland-Kreis;1.254;936;667;673
Hartmannsdorf;Gemeinde;Greiz;409;446;373;349
Harztor (Niedersachswerfen - Ilfeld);Gemeinde;Nordhausen;6.531;6.616;6.140;6.059
Harzungen;Gemeinde;Nordhausen;253;240;210;200
Haselbach;Gemeinde;Altenburger Land;1.061;892;832;797
Haßleben;Gemeinde;Sömmerda;1.098;1.071;1.018;1.004
Hausen;Gemeinde;Eichsfeld;427;469;421;405
Haussömmern;Gemeinde;Unstrut-Hainich-Kreis;281;272;239;227
Hauteroda;Gemeinde;Kyffhäuserkreis;632;629;545;512
Haynrode;Gemeinde;Eichsfeld;791;746;668;638
Heichelheim;Gemeinde;Weimarer Land;305;325;308;311
Heideland;Gemeinde;Saale-Holzland-Kreis;2.292;2.205;1.894;1.816
Heilbad Heiligenstadt;Stadt;Eichsfeld;17.239;17.392;16.324;16.772
Helbedündorf;Gemeinde;Kyffhäuserkreis;3.039;2.974;2.563;2.347
Heldrungen;Stadt;Kyffhäuserkreis;2.606;2.425;2.258;2.282
Hellingen;Gemeinde;Hildburghausen;1.232;1.153;1.039;1.011
Helmsdorf;Gemeinde;Eichsfeld;584;586;526;512
Hemleben;Gemeinde;Kyffhäuserkreis;290;274;231;222
Henfstädt;Gemeinde;Hildburghausen;427;394;393;376
Henneberg;Gemeinde;Schmalkalden-Meiningen;640;682;634;613
Henschleben;Gemeinde;Sömmerda;405;397;371;337
Herbsleben;Gemeinde;Unstrut-Hainich-Kreis;3.210;3.257;3.030;2.904
Heringen/Helme;Stadt;Nordhausen;5.735;5.682;5.058;4.869
Hermsdorf;Stadt;Saale-Holzland-Kreis;9.361;8.907;8.026;7.689
Heroldishausen;Gemeinde;Unstrut-Hainich-Kreis;214;205;208;197
Herrenhof;Gemeinde;Gotha;884;852;804;781
Herrmannsacker;Gemeinde;Nordhausen;372;428;370;350
Herrnschwende;Gemeinde;Sömmerda;358;354;299;283
Herschdorf;Gemeinde;Ilm-Kreis;1.033;1.057;916;852
Hetschburg;Gemeinde;Weimarer Land;217;231;234;247
Heukewalde;Gemeinde;Altenburger Land;236;236;218;189
Heuthen;Gemeinde;Eichsfeld;794;789;752;728
Heyersdorf;Gemeinde;Altenburger Land;183;153;138;126
Heygendorf;Gemeinde;Kyffhäuserkreis;824;737;589;556
Hilbersdorf;Gemeinde;Greiz;218;242;223;215
Hildburghausen;Stadt;Hildburghausen;12.555;12.457;11.775;11.792
Hirschberg;Stadt;Saale-Orla-Kreis;2.846;2.670;2.290;2.168
Hirschfeld;Gemeinde;Greiz;126;148;132;114
Hochheim;Gemeinde;Gotha;545;548;476;451
Hohenfelden;Gemeinde;Weimarer Land;368;356;366;370
Hohengandern;Gemeinde;Eichsfeld;583;586;574;582
Hohenkirchen;Gemeinde;Gotha;778;768;736;701
Hohenleuben;Stadt;Greiz;1.965;1.905;1.693;1.537
Hohenstein;Gemeinde;Nordhausen;3.175;2.979;2.410;2.200
Hohenwarte;Gemeinde;Saalfeld-Rudolstadt;197;153;185;174
Hohes Kreuz;Gemeinde;Eichsfeld;1.666;1.553;1.345;1.293
Holzsußra;Gemeinde;Kyffhäuserkreis;356;329;274;276
Hopfgarten;Gemeinde;Weimarer Land;800;719;694;668
Hornsömmern;Gemeinde;Unstrut-Hainich-Kreis;168;160;146;154
Hörsel;Gemeinde;Gotha;5.309;5.345;4.999;4.915
Hörselberg-Hainich;Gemeinde;Wartburgkreis;6.914;6.983;6.348;6.346
Hummelshain;Gemeinde;Saale-Holzland-Kreis;667;658;622;619
Hümpfershausen;Gemeinde;Schmalkalden-Meiningen;498;461;434;417
Hundeshagen;Gemeinde;Eichsfeld;1.306;1.335;1.197;1.157
Hundhaupten;Gemeinde;Greiz;535;678;351;342
Ichstedt;Gemeinde;Kyffhäuserkreis;770;762;626;580
Ifta;Gemeinde;Wartburgkreis;1.302;1.295;1.173;1.120
Ilmenau;Stadt;Ilm-Kreis;28.514;27.124;25.975;26.153
Ilmtal;Gemeinde;Ilm-Kreis;4.164;4.289;3.911;3.822
Ilmtal-Weinstraße;Gemeinde;Weimarer Land;4.937;5.143;4.642;4.534
Isseroda;Gemeinde;Weimarer Land;397;501;553;569
Issersheilingen;Gemeinde;Unstrut-Hainich-Kreis;136;135;128;146
Jena;Kreisfreie Stadt;Jena;101.061;101.157;105.739;109.527
Jenalöbnitz;Gemeinde;Saale-Holzland-Kreis;134;109;153;161
Jonaswalde;Gemeinde;Altenburger Land;360;355;321;296
Jückelberg;Gemeinde;Altenburger Land;360;369;310;280
Judenbach;Gemeinde;Sonneberg;3.076;2.806;2.485;2.378
Kahla;Stadt;Saale-Holzland-Kreis;8.189;7.598;7.066;6.940
Kalbsrieth;Gemeinde;Kyffhäuserkreis;908;839;704;656
Kallmerode;Gemeinde;Eichsfeld;575;602;604;606
Kaltennordheim;Stadt;Wartburgkreis;4.123;3.919;3.367;3.330
Kaltensundheim;Gemeinde;Schmalkalden-Meiningen;984;934;810;782
Kaltenwestheim;Gemeinde;Schmalkalden-Meiningen;1.089;1.069;971;908
Kammerforst;Gemeinde;Unstrut-Hainich-Kreis;983;914;852;808
Kamsdorf;Gemeinde;Saalfeld-Rudolstadt;3.156;2.995;2.748;2.657
Kannawurf;Gemeinde;Sömmerda;1.086;1.022;842;792
Kapellendorf;Gemeinde;Weimarer Land;426;447;438;393
Karlsdorf;Gemeinde;Saale-Holzland-Kreis;112;101;111;114
Katzhütte;Gemeinde;Saalfeld-Rudolstadt;2.106;2.234;1.520;1.373
Kauern;Gemeinde;Greiz;483;479;418;401
Kaulsdorf;Gemeinde;Saalfeld-Rudolstadt;3.213;3.101;2.668;2.530
Kefferhausen;Gemeinde;Eichsfeld;823;816;751;729
Kehmstedt;Gemeinde;Nordhausen;566;554;474;471
Keila;Gemeinde;Saale-Orla-Kreis;88;88;81;69
Kella;Gemeinde;Eichsfeld;566;564;533;500
Kiliansroda;Gemeinde;Weimarer Land;224;243;214;201
Kindelbrück;Stadt;Sömmerda;2.173;2.063;1.761;1.911
Kirchgandern;Gemeinde;Eichsfeld;615;597;593;570
Kirchheilingen;Gemeinde;Unstrut-Hainich-Kreis;883;899;808;776
Kirchheim;Gemeinde;Ilm-Kreis;987;1.216;1.201;1.229
Kirchworbis;Gemeinde;Eichsfeld;1.522;1.497;1.398;1.345
Kirschkau;Gemeinde;Saale-Orla-Kreis;261;248;245;233
Kleinbartloff;Gemeinde;Eichsfeld;486;498;424;426
Kleinbockedra;Gemeinde;Saale-Holzland-Kreis;49;48;34;40
Kleinbodungen;Gemeinde;Nordhausen;484;429;371;347
Kleinbrembach;Gemeinde;Sömmerda;358;342;318;316
Kleinebersdorf;Gemeinde;Saale-Holzland-Kreis;201;191;183;184
