Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Biberbach;Siedlung;Augsburg;1.540
Biberbach;Siedlung;Dachau;560
Bibergau;Siedlung;Kitzingen;610
Biburg;Siedlung;Kelheim;590
Biburg;Siedlung;Fürstenfeldbruck;710
Biburg;Siedlung;Augsburg;1.220
Bichl;Siedlung;Bad Tölz-Wolfratshausen;2.030
Bidingen;Siedlung;Ostallgäu;810
Biebelried;Siedlung;Kitzingen;720
Bieberehren;Siedlung;Würzburg;740
Biessenhofen;Siedlung;Ostallgäu;1.540
Bieswang;Siedlung;Weißenburg-Gunzenhausen;650
Bihlerdorf;Siedlung;Oberallgäu;680
Billingshausen;Siedlung;Main-Spessart;510
Binabiburg;Siedlung;Landshut;600
Bindlach;Siedlung;Bayreuth;4.330
Bindlacher Berg;Siedlung;Bayreuth;900
Binswangen;Siedlung;Dillingen a.d. Donau;1.330
Birkenfeld;Siedlung;Main-Spessart;1.620
Bischberg;Siedlung;Bamberg;5.050
Bischbrunn;Siedlung;Main-Spessart;1.760
Bischofsgrün;Siedlung;Bayreuth;1.500
Bischofsheim a.d. Rhön;Siedlung;Rhön-Grabfeld;2.290
Bischofsmais;Siedlung;Regen;1.330
Bischofswiesen;Siedlung;Berchtesgadener Land;2.000
Bissingen;Siedlung;Dillingen a.d. Donau;1.220
Blaibach;Siedlung;Cham;1.420
Blaichach;Siedlung;Oberallgäu;4.080
Blankenbach;Siedlung;Aschaffenburg;1.380
Blechhammer;Siedlung;Schwandorf;840
Blindheim;Siedlung;Dillingen a.d. Donau;980
Blonhofen;Siedlung;Ostallgäu;530
Blumenrod;Siedlung;Coburg;600
Bobengrün;Siedlung;Hof;510
Böbing;Siedlung;Weilheim-Schongau;1.090
Bobingen;Siedlung;Augsburg;12.000
Böbrach;Siedlung;Regen;1.160
Bockhorn;Siedlung;Erding;530
Bodenkirchen;Siedlung;Landshut;1.280
Bodenmais;Siedlung;Regen;2.830
Bodenwöhr;Siedlung;Schwandorf;1.310
Bodolz;Siedlung;Lindau (Bodensee);2.450
Bogen;Siedlung;Straubing-Bogen;5.600
Böhmfeld;Siedlung;Eichstätt;1.610
Böhming;Siedlung;Eichstätt;540
Bonnhof;Siedlung;Ansbach;510
Bonstetten;Siedlung;Augsburg;1.210
Boos;Siedlung;Unterallgäu;1.580
Börwang;Siedlung;Oberallgäu;1.580
Böttigheim;Siedlung;Würzburg;500
Boxdorf;Siedlung;Nürnberg;2.440
Brand;Siedlung;Tirschenreuth;940
Brand;Siedlung;Wunsiedel i. Fichtelgebirge;1.060
Brannenburg;Siedlung;Rosenheim;5.210
Bräuningshof;Siedlung;Forchheim;880
Breitbrunn;Siedlung;Haßberge;700
Breitbrunn a. Chiemsee;Siedlung;Rosenheim;1.190
Breitbrunn am Ammersee;Siedlung;Starnberg;1.490
Breitenberg;Siedlung;Passau;710
Breitenbrunn;Siedlung;Neumarkt i.d. OPf.;1.020
Breitenbrunn;Siedlung;Unterallgäu;800
Breitenbrunn;Siedlung;Miltenberg;600
Breitendiel;Siedlung;Miltenberg;800
Breitengüßbach;Siedlung;Bamberg;3.960
Breitenthal;Siedlung;Günzburg;670
Brennberg;Siedlung;Regensburg;660
Brodswinden - Wallersdorf;Siedlung;Ansbach Stadt;1.130
Bronn;Siedlung;Bayreuth;590
Bronnamberg;Siedlung;Fürth;720
Bruck;Siedlung;Neuburg-Schrobenhausen;530
Bruckberg;Siedlung;Landshut;2.330
Bruckberg;Siedlung;Ansbach;1.240
Bruck i.d. OPf.;Siedlung;Schwandorf;3.340
Bruckmühl;Siedlung;Rosenheim;13.700
Brunn;Siedlung;Nürnberg;780
Brunn;Siedlung;Neustadt a.d. Aisch-Bad Windsheim;520
Brunnen;Siedlung;Neuburg-Schrobenhausen;740
Brunnthal;Siedlung;München;1.590
Bubach an der Naab;Siedlung;Schwandorf;700
Bubenhausen;Siedlung;Neu-Ulm;650
Bubenreuth;Siedlung;Erlangen-Höchstadt;4.460
