Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Crailsheim;Siedlung;Schwäbisch Hall;24.400
Creglingen;Siedlung;Main-Tauber-Kreis;1.740
Criesbach;Siedlung;Hohenlohekreis;670
Dachtel;Siedlung;Böblingen;1.270
Dagersheim;Siedlung;Böblingen;5.800
Dahenfeld;Siedlung;Heilbronn;1.350
Daisbach;Siedlung;Rhein-Neckar-Kreis;1.280
Daisendorf;Siedlung;Bodenseekreis;1.540
Dalkingen;Siedlung;Ostalbkreis;1.060
Dallau;Siedlung;Neckar-Odenwald-Kreis;2.460
Dangstetten;Siedlung;Waldshut;1.080
Darmsheim;Siedlung;Böblingen;3.900
Dätzingen;Siedlung;Böblingen;2.040
Dauchingen;Siedlung;Schwarzwald-Baar-Kreis;3.530
Daugendorf;Siedlung;Biberach;580
Deckenpfronn;Siedlung;Böblingen;2.930
Degerfelden;Siedlung;Lörrach;1.460
Degerschlacht;Siedlung;Reutlingen;2.140
Deggingen;Siedlung;Göppingen;3.620
Degmarn;Siedlung;Heilbronn;750
Deilingen;Siedlung;Tuttlingen;1.620
Deisendorf;Siedlung;Bodenseekreis;570
Deißlingen;Siedlung;Rottweil;4.100
Deizisau;Siedlung;Esslingen;6.420
Dellmensingen;Siedlung;Alb-Donau-Kreis;2.560
Denkendorf;Siedlung;Esslingen;10.200
Denkingen;Siedlung;Tuttlingen;2.480
Denkingen;Siedlung;Sigmaringen;710
Dennach;Siedlung;Enzkreis;660
Denzlingen;Siedlung;Emmendingen;13.200
Dertingen;Siedlung;Main-Tauber-Kreis;800
Dettenhausen;Siedlung;Tübingen;5.380
Dettensee;Siedlung;Freudenstadt;540
Dettingen;Siedlung;Freudenstadt;1.470
Dettingen;Siedlung;Konstanz;3.050
Dettingen;Siedlung;Tübingen;1.730
Dettingen am Albuch;Siedlung;Heidenheim;1.980
Dettingen an der Erms;Siedlung;Reutlingen;7.600
Dettingen an der Iller;Siedlung;Biberach;2.000
Dettingen unter Teck;Siedlung;Esslingen;5.700
Deufringen;Siedlung;Böblingen;1.830
Dewangen;Siedlung;Ostalbkreis;2.650
Diefenbach;Siedlung;Enzkreis;910
Diegelsberg;Siedlung;Göppingen;840
Dielheim;Siedlung;Rhein-Neckar-Kreis;5.770
Diersburg;Siedlung;Ortenaukreis;1.630
Diersheim;Siedlung;Ortenaukreis;1.050
Dietenheim;Siedlung;Alb-Donau-Kreis;4.420
Dietersweiler;Siedlung;Freudenstadt;2.040
Dietingen;Siedlung;Rottweil;1.510
Dietingen;Siedlung;Alb-Donau-Kreis;620
Dietlingen;Siedlung;Enzkreis;3.850
Dimbach;Siedlung;Hohenlohekreis;830
Dingelsdorf;Siedlung;Konstanz;1.710
Dischingen;Siedlung;Heidenheim;1.690
Distelhausen;Siedlung;Main-Tauber-Kreis;880
Dittigheim;Siedlung;Main-Tauber-Kreis;890
Dittishausen;Siedlung;Breisgau-Hochschwarzwald;860
Dittwar;Siedlung;Main-Tauber-Kreis;710
Ditzingen;Siedlung;Ludwigsburg;13.200
Dobel;Siedlung;Calw;2.120
Döffingen;Siedlung;Böblingen;4.260
Dogern;Siedlung;Waldshut;2.240
Döggingen;Siedlung;Schwarzwald-Baar-Kreis;1.020
Donaueschingen;Siedlung;Schwarzwald-Baar-Kreis;14.300
Donaurieden;Siedlung;Alb-Donau-Kreis;670
Donaustetten - Gögglingen;Siedlung;Ulm;4.260
Donnbronn;Siedlung;Heilbronn;950
Donnstetten;Siedlung;Reutlingen;1.020
Donzdorf;Siedlung;Göppingen;7.170
Dorf;Siedlung;Emmendingen;620
Dorfmerkingen;Siedlung;Ostalbkreis;860
Dörlesberg;Siedlung;Main-Tauber-Kreis;740
Dörlinbach;Siedlung;Ortenaukreis;780
Dormettingen;Siedlung;Zollernalbkreis;1.040
Dörnach;Siedlung;Reutlingen;680
Dornhan;Siedlung;Rottweil;2.810
Dornstadt;Siedlung;Alb-Donau-Kreis;3.980
Dornstetten;Siedlung;Freudenstadt;7.840
Dörzbach;Siedlung;Hohenlohekreis;1.440
Dossenheim;Siedlung;Rhein-Neckar-Kreis;11.600
Dotternhausen;Siedlung;Zollernalbkreis;1.810
Dottingen;Siedlung;Reutlingen;1.020
Duchtlingen;Siedlung;Konstanz;560
Dühren;Siedlung;Rhein-Neckar-Kreis;2.190
Dundenheim;Siedlung;Ortenaukreis;1.290
Dunningen;Siedlung;Rottweil;3.190
Durbach;Siedlung;Ortenaukreis;2.380
Dürbheim;Siedlung;Tuttlingen;1.620
Durchhausen;Siedlung;Tuttlingen;910
Durchlach-Bergwald;Siedlung;Karlsruhe Stadt;1.260
Durlangen;Siedlung;Ostalbkreis;2.100
Dürmentingen;Siedlung;Biberach;1.630
Durmersheim;Siedlung;Rastatt;9.260
Dürnau;Siedlung;Göppingen;2.000
Dürrenbüchig;Siedlung;Karlsruhe;540
Dürrenmettstetten;Siedlung;Rottweil;500
Dürrn;Siedlung;Enzkreis;1.760
Durrweiler;Siedlung;Freudenstadt;560
Dußlingen;Siedlung;Tübingen;5.480
Duttenberg;Siedlung;Heilbronn;960
Ebenweiler;Siedlung;Ravensburg;1.140
Eberbach;Siedlung;Rhein-Neckar-Kreis;8.500
Eberdingen;Siedlung;Ludwigsburg;1.760
Eberhardzell;Siedlung;Biberach;1.670
Ebersbach;Siedlung;Ravensburg;1.140
Ebersbach an der Fils;Siedlung;Göppingen;11.200
Ebershardt;Siedlung;Calw;590
Eberstadt;Siedlung;Heilbronn;2.510
Eberstadt;Siedlung;Neckar-Odenwald-Kreis;500
Ebersteinburg;Siedlung;Baden-Baden;1.230
Ebersweier;Siedlung;Ortenaukreis;1.010
Ebhausen;Siedlung;Calw;2.820
Ebingen;Siedlung;Zollernalbkreis;18.200
Ebnat;Siedlung;Ostalbkreis;3.130
Ebringen;Siedlung;Breisgau-Hochschwarzwald;2.720
Echterdingen;Siedlung;Esslingen;12.800
Eckartshausen;Siedlung;Schwäbisch Hall;940
Eckartsweier;Siedlung;Ortenaukreis;1.360
Eckenweiler;Siedlung;Tübingen;650
Edelfingen;Siedlung;Main-Tauber-Kreis;1.380
Edingen;Siedlung;Rhein-Neckar-Kreis;7.020
Effringen;Siedlung;Calw;1.920
Efringen-Kirchen;Siedlung;Lörrach;3.110
Efrizweiler - Kluftern;Siedlung;Bodenseekreis;3.210
Egelsberg;Siedlung;Esslingen;1.650
Egenhausen;Siedlung;Calw;1.930
Egesheim;Siedlung;Tuttlingen;640
Egg;Siedlung;Konstanz;660
Eggenrot;Siedlung;Ostalbkreis;520
Eggenstein-Leopoldshafen;Siedlung;Karlsruhe;15.500
Eggingen;Siedlung;Waldshut;1.640
Eggingen;Siedlung;Ulm;1.340
Eglingen;Siedlung;Heidenheim;570
Eglofs;Siedlung;Ravensburg;610
Egringen;Siedlung;Lörrach;930
Ehingen (Ehingen im Hegau);Siedlung;Konstanz;1.510
Ehingen (Donau);Siedlung;Alb-Donau-Kreis;16.500
Ehningen;Siedlung;Böblingen;7.730
Ehrenkirchen (Kirchhofen - Ehrenstetten);Siedlung;Breisgau-Hochschwarzwald;5.070
Ehrstädt;Siedlung;Rhein-Neckar-Kreis;590
Eibensbach;Siedlung;Heilbronn;920
Eichel;Siedlung;Main-Tauber-Kreis;1.550
Eichelberg;Siedlung;Karlsruhe;680
Eichstetten am Kaiserstuhl;Siedlung;Breisgau-Hochschwarzwald;3.260
Eigeltingen;Siedlung;Konstanz;1.790
Eigenzell;Siedlung;Ostalbkreis;780
