Name;Status;Kreis;Einwohner;Einwohner;Einwohner;Einwohner
;;;Schätzung;Schätzung;Zensus;Schätzung
;;;31.12.95;31.12.01;09.05.11;31.12.15
Jöhstadt;Stadt;Erzgebirgskreis;3.747;3.448;2.984;2.808
Jonsdorf;Gemeinde;Görlitz;1.904;1.978;1.724;1.583
Käbschütztal;Gemeinde;Meißen;3.107;3.067;2.772;2.787
Kamenz;Stadt;Bautzen;18.906;18.848;15.582;15.202
Kirchberg;Stadt;Zwickau;11.123;10.139;8.737;8.505
Kitzscher;Stadt;Leipzig;8.304;6.666;5.364;5.034
Klingenberg (Pretzschendorf - Höckendorf);Gemeinde;Sächsische Schweiz-Osterzgebirge;8.243;7.942;7.029;6.843
Klingenthal;Stadt;Vogtlandkreis;12.821;11.359;9.386;8.783
Klipphausen;Gemeinde;Meißen;9.973;11.018;10.219;10.283
Kodersdorf;Gemeinde;Görlitz;2.827;2.733;2.557;2.535
Kohren-Sahlis;Stadt;Leipzig;3.297;3.187;2.822;2.611
Königsbrück;Stadt;Bautzen;5.256;4.923;4.351;4.429
Königsfeld;Gemeinde;Mittelsachsen;1.760;1.796;1.572;1.492
Königshain;Gemeinde;Görlitz;1.279;1.265;1.249;1.177
Königshain-Wiederau;Gemeinde;Mittelsachsen;3.158;3.123;2.794;2.712
Königstein/Sächs. Schw.;Stadt;Sächsische Schweiz-Osterzgebirge;3.360;3.085;2.264;2.122
Königswalde;Gemeinde;Erzgebirgskreis;2.316;2.434;2.307;2.274
Königswartha;Gemeinde;Bautzen;5.171;4.469;3.742;3.511
Kottmar (Eibau - Cunnersdorf);Gemeinde;Görlitz;9.523;9.259;8.051;7.515
Krauschwitz;Gemeinde;Görlitz;3.881;4.056;3.629;3.546
Kreba-Neudorf;Gemeinde;Görlitz;1.154;1.115;953;884
Kreischa;Gemeinde;Sächsische Schweiz-Osterzgebirge;3.755;4.375;4.340;4.509
Kriebstein;Gemeinde;Mittelsachsen;2.836;2.854;2.331;2.164
Krostitz;Gemeinde;Nordsachsen;3.452;4.110;3.749;3.763
Kubschütz;Gemeinde;Bautzen;2.708;2.961;2.703;2.579
Lampertswalde;Gemeinde;Meißen;3.075;3.047;2.737;2.614
Langenbernsdorf;Gemeinde;Zwickau;3.962;4.036;3.755;3.553
Langenweißbach;Gemeinde;Zwickau;3.134;2.998;2.641;2.531
Laußig;Gemeinde;Nordsachsen;4.967;4.812;3.975;3.764
Laußnitz;Gemeinde;Bautzen;1.864;2.099;1.931;1.890
Lauta;Stadt;Bautzen;11.411;10.572;9.144;8.590
Lauter-Bernsbach;Stadt;Erzgebirgskreis;9.969;9.875;9.108;8.877
Lawalde;Gemeinde;Görlitz;2.162;2.182;1.986;1.916
Leipzig;Kreisfreie Stadt;Leipzig Stadt;519.710;493.052;502.979;560.472
Leisnig;Stadt;Mittelsachsen;11.052;10.283;8.861;8.386
Lengenfeld;Stadt;Vogtlandkreis;8.979;8.572;7.597;7.225
Leubsdorf;Gemeinde;Mittelsachsen;4.200;4.087;3.566;3.406
Leutersdorf;Gemeinde;Görlitz;4.458;4.447;3.824;3.655
Lichtenau;Gemeinde;Mittelsachsen;7.265;8.165;7.544;7.236
Lichtenberg;Gemeinde;Bautzen;1.771;1.790;1.659;1.595
Lichtenberg/Erzgeb.;Gemeinde;Mittelsachsen;3.185;3.116;2.882;2.709
Lichtenstein/Sa.;Stadt;Zwickau;14.448;14.205;12.393;11.632
Lichtentanne;Gemeinde;Zwickau;7.050;7.285;6.680;6.546
Liebschützberg;Gemeinde;Nordsachsen;3.868;3.751;3.225;2.996
Liebstadt;Stadt;Sächsische Schweiz-Osterzgebirge;1.535;1.447;1.365;1.339
Limbach;Gemeinde;Vogtlandkreis;1.615;1.634;1.526;1.465
Limbach-Oberfrohna;Stadt;Zwickau;27.453;27.257;24.721;24.059
Löbau;Stadt;Görlitz;20.678;19.013;16.019;15.353
Löbnitz;Gemeinde;Nordsachsen;2.496;2.446;2.097;2.065
Lohmen;Gemeinde;Sächsische Schweiz-Osterzgebirge;3.178;3.312;3.128;3.072
Lohsa;Gemeinde;Bautzen;5.932;6.287;5.712;5.393
Lommatzsch;Stadt;Meißen;6.549;6.153;5.397;5.074
Lossatal (Falkenhain - Hohburg);Gemeinde;Leipzig;7.278;7.319;6.368;6.064
Lößnitz;Stadt;Erzgebirgskreis;12.555;11.068;9.364;8.677
Lugau/Erzgeb.;Stadt;Erzgebirgskreis;10.437;9.908;8.596;8.231
Lunzenau;Stadt;Mittelsachsen;5.912;5.438;4.731;4.376
Machern;Gemeinde;Leipzig;5.656;6.710;6.628;6.663
Malschwitz;Gemeinde;Bautzen;5.750;5.671;5.033;4.903
Marienberg;Stadt;Erzgebirgskreis;21.374;20.269;18.033;17.409
Markersdorf;Gemeinde;Görlitz;3.910;4.557;4.084;3.986
Markkleeberg;Stadt;Leipzig;20.415;23.087;23.672;24.240
Markneukirchen;Stadt;Vogtlandkreis;9.926;9.372;8.215;7.782
Markranstädt;Stadt;Leipzig;12.500;15.684;14.763;15.119
Meerane;Stadt;Zwickau;19.606;18.439;15.521;14.851
Meißen;Stadt;Meißen;32.200;28.982;27.055;27.936
Mildenau;Gemeinde;Erzgebirgskreis;4.032;3.900;3.517;3.396
Mittelherwigsdorf;Gemeinde;Görlitz;4.650;4.570;3.784;3.620
Mittweida;Stadt;Mittelsachsen;17.839;16.890;15.385;14.939
Mockrehna;Gemeinde;Nordsachsen;5.835;5.817;5.179;5.023
Moritzburg;Gemeinde;Meißen;6.587;8.079;8.197;8.310
Mücka;Gemeinde;Görlitz;1.354;1.298;1.069;990
Mügeln;Stadt;Nordsachsen;8.057;7.704;6.434;6.071
Müglitztal;Gemeinde;Sächsische Schweiz-Osterzgebirge;2.282;2.358;2.005;1.895
Mühlau;Gemeinde;Mittelsachsen;2.232;2.389;2.197;2.113
Mühlental;Gemeinde;Vogtlandkreis;1.598;1.710;1.389;1.338
Mulda/Sa.;Gemeinde;Mittelsachsen;3.164;3.100;2.693;2.557
Muldenhammer;Gemeinde;Vogtlandkreis;4.431;4.155;3.346;3.167
Mülsen;Gemeinde;Zwickau;13.253;12.798;11.914;11.526
